id	date	protocol	attack_type	gt_factors	tx_hash
defihacklabs-peapods-finance-2025-02-08	2025-02-08	Peapods Finance	oracle	unknown	0x2c1a19982aa88bee8a5d9a5dfeb406f2bfe1cfc1213f20e91d91ce3b55c86cc5
defihacklabs-scorch-2025-02-11	2025-02-11	Scorch	oracle	unknown	0x02dc4409af99de400b2427dad525c31467a8fd2ac6cb251f885d33c073510ba2
defihacklabs-hegicoptions-2025-02-23	2025-02-23	HegicOptions	accounting	unknown	0x260d5eb9151c565efda80466de2e7eee9c6bd4973d54ff68c8e045a26f62ea73
defihacklabs-rnspay-2025-03-06	2025-03-06	RnsPay	governance/access	f_auth	0x69a825ffedeb4461afc95e21475c011b1675a95d318bb1dd63b13307dfe3b9ed
defihacklabs-uni-2025-03-07	2025-03-07	UNI	accounting	unknown	0x6c8aed8d0eab29416cd335038cd5ee68c5e27bfb001c9eac7fc14c7075ed4420
defihacklabs-sbr-token-2025-03-07	2025-03-07	SBR Token	oracle	unknown	0xe4c1aeacf8c93f8e39fe78420ce7a114ecf59dea90047cd2af390b30af54e7b9
defihacklabs-alkimiya-io-2025-03-28	2025-03-28	Alkimiya_IO	precision	f_fl	0x9b9a6dd05526a8a4b40e5e1a74a25df6ecccae6ee7bf045911ad89a1dd3f0814
defihacklabs-ampkashi-2025-04-07	2025-04-07	AmpKashi	oracle	f_swap	0x21c91633ca99b991b3ba20e02b12bbeef187fd3fea756cece4748c2ee0173db3
defihacklabs-multitransferswap-2025-04-27	2025-04-27	multitransferswap	accounting	f_swap	0xbb82787a24d9b8d1047bbc12fe5d4b8d4ad3fc3e32e997985043ec3ef6d7dffe
defihacklabs-aventarewardclaim-2025-04-27	2025-04-27	AventaRewardClaim	accounting	unknown	0x59446b1f58457c83d18864bbfaa8930c9438da33017ad41f08397cf79a8c63e5
defihacklabs-tcdp-2025-04-28	2025-04-28	tcdp	token	f_auth	0x9879031462b16dbf063377c4a8e5b043662576a9a3fb282c5a656953ad00684e
defihacklabs-usualmoney-2025-05-27	2025-05-27	UsualMoney	accounting	unknown	0x585d8be6a0b07ca2f94cfa1d7542f1a62b0d3af5fab7823cbcf69fb243f271f8
defihacklabs-pegaball-2025-06-03	2025-06-03	PegaBall	accounting	unknown	0x3cecc3f347edff1d27a0c929f2e7a4c04522afb3a74e24db94684cb6b51b1d65
defihacklabs-aaveboost-2025-06-12	2025-06-12	AAVEBoost	accounting	unknown	0xc4ef3b5e39d862ffcb8ff591fbb587f89d9d4ab56aec70cfb15831782239c0ce
defihacklabs-fixedtokenbswap-2025-06-15	2025-06-15	FixedTokenBSwap	oracle	f_swap	0x5db22f0edc1a9eda5343573da27dd2168c8a36a7f948401db76e22ba1fab71ea
defihacklabs-metapool-2025-06-17	2025-06-17	MetaPool	governance/access	unknown	0x57ee419a001d85085478d04dd2a73daa91175b1d7c11d8a8fb5622c56fd1fa69
defihacklabs-bankrollstackplus-2025-06-18	2025-06-18	BankrollStackPlus	accounting	f_fl,f_auth	0x8905a0aca5849626c0de026c2d2894ddfa8060a27725221f01aac9fb0b3d6629
defihacklabs-gradientmakerpool-2025-06-23	2025-06-23	GradientMakerPool	oracle	unknown	0xb5cfa3f86ce9506e2364475dc43c44de444b079d4752edbffcdad7d1654b1f67
defihacklabs-silofinance-2025-06-25	2025-06-25	SiloFinance	governance/access	f_auth	0x1f15a193db3f44713d56c4be6679b194f78c2bcdd2ced5b0c7495b7406f5e87a
defihacklabs-paraswapdaiapproval-2025-06-25	2025-06-25	ParaSwapDAIApproval	governance/access	f_auth,f_fl	0xed5f932a136ef95b943951ce103b3edbe600bf2c2607edff7b6ea9ada35ca300
defihacklabs-resupplyfi-2025-06-26	2025-06-26	ResupplyFi	oracle	unknown	0xffbbd492e0605a8bb6d490c3cd879e87ff60862b0684160d08fd5711e7a872d3
defihacklabs-initcodefactoryfees-2025-06-28	2025-06-28	InitcodeFactoryFees	governance/access	unknown	0x837752ca27743c9b37d901ff6cf9cdbe98b6097c660394a390de075455d8ccea
defihacklabs-strategyllamalendconvex-2025-07-16	2025-07-16	StrategyLlamaLendConvex	oracle	f_swap	0x2ff7c23dca7e9a86c70004696802cbd37d6a77fc4f3e02522b16617045b764f6
defihacklabs-swappstaking-2025-07-24	2025-07-24	SWAPPStaking	accounting	unknown	0xa02b159fb438c8f0fb2a8d90bc70d8b2273d06b55920b26f637cab072b7a0e3e
defihacklabs-emptysetreserve-2025-07-24	2025-07-24	EmptySetReserve	flash-loan	f_fl,f_orc	0x240e9573e6c59cfe025c311c176c351bb07a86ae994aaaff58ec3f7f84dab372
defihacklabs-whereismydragontreasure-2025-07-25	2025-07-25	WhereIsMyDragonTreasure	accounting	unknown	0x2154dd30d2bdd53b233d862ecd665c3a69c7a849cb498b724f622d9cb42771fc
defihacklabs-unverified670471-2025-07-26	2025-07-26	Unverified670471	flash-loan	unknown	0x6a2a9f48ff78966cb44772c3551a56d7c5b788168f81cae8d06006c79a86fc16
defihacklabs-anyswapwethpermit-2025-07-29	2025-07-29	AnyswapWETHPermit	token	f_swap	0xae79fdcfd7c36ed654d11b352b495340bd3cc47d0849c35ac6ffa1e4859098ec
defihacklabs-sizeflashloanlooping-2025-08-15	2025-08-15	SizeFlashLoanLooping	flash-loan	f_fl	0x63aaa5a9fc87ce419c8b1711effee34e2c726b3ee2c2d28f64b963408d6ea8d3
defihacklabs-sizecredit-2025-08-15	2025-08-15	SizeCredit	governance/access	unknown	0xc7477d6a5c63b04d37a39038a28b4cbaa06beb167e390d55ad4a421dbe4067f8
defihacklabs-autopooledtradingbot-2025-08-17	2025-08-17	AutoPooledTradingBot	accounting	unknown	0x9ec3fb4ac39e179c6a4f5323f2f757faca7b71718fc9f752153387c9204cee3d
defihacklabs-presalev5-2025-08-19	2025-08-19	PresaleV5	oracle	unknown	0x0ef0cde3d8348fdced3adf7d0475ec1364236dd6ab1d8580addad96b004b604a
defihacklabs-unverified-6f7a-2025-08-22	2025-08-22	Unverified_6f7a	governance/access	unknown	0x653b185a57fb5909180fe4eede67e51c5e9b70af16937382f86d5aefe635e5a7
defihacklabs-0xf340-2025-08-27	2025-08-27	0xf340	governance/access	unknown	0x103b4550a1a2bdb73e3cb5ea484880cd8bed7e4842ecdd18ed81bf67ed19e03c
defihacklabs-mimspell3-2025-10-04	2025-10-04	MIMSpell3	accounting	unknown	0x842aae91c89a9e5043e64af34f53dc66daf0f033ad8afbf35ef0c93f99a9e5e6
defihacklabs-yeth-2025-12-01	2025-12-01	yETH	accounting	unknown	0x53fe7ef190c34d810c50fb66f0fc65a1ceedc10309cf4b4013d64042a0331156
defihacklabs-curve-llamalend-2026-03-02	2026-03-02	Curve LlamaLend	oracle	f_swap	0xb93506af8f1a39f6a31e2d34f5f6a262c2799fef6e338640f42ab8737ed3d8a4
defihacklabs-alkemiearn-2026-03-10	2026-03-10	AlkemiEarn	accounting	unknown	0xa17001eb39f867b8bed850de9107018a2d2503f95f15e4dceb7d68fff5ef6d9d
defihacklabs-stakeonme-2026-03-15	2026-03-15	StakeOnMe	token	unknown	0xed71e72ba1be2cff06438fab558a79936414d24dd1f6d3e58ecadc2a8f673fe5
defihacklabs-xlootstaking-2026-04-15	2026-04-15	XLootStaking	accounting	f_fl	0xab19752a450a205ccaca9afb8505e2d8b79593ee2edab1f67bdec27a4f14871f
defihacklabs-juiceboxrevloans-2026-04-20	2026-04-20	JuiceboxREVLoans	governance/access	f_auth	0x9adbd62355eb72b4ff6c58716a503133672ed9317ab930a4c6aa31c7a1a8f938
defihacklabs-thetanutsvaultsharerounding-2026-04-20	2026-04-20	ThetanutsVaultShareRounding	precision	unknown	0x1bc83899060c27106b6fb4257b208925085794e83b21c444854442fd3554862c
defihacklabs-giddyvaultv3-2026-04-23	2026-04-23	GiddyVaultV3	governance/access	f_auth	0x5edb66a4c2ea55bba95d36d27713e3bb1c67c3c4199a8a1759e754c6f25482e5
defihacklabs-unverified-a152-2026-04-27	2026-04-27	Unverified_a152	governance/access	f_auth	0x57709a498f27c7219b634ae20e7d2cbf9ab8dd6aca7b3845fabf93b57760b576
defihacklabs-rwavault-2026-04-28	2026-04-28	RWAVault	governance/access	f_auth	0x6b04344d5627df59d3bc645e7454f4605a90272852a91e435e370376643353b3
defihacklabs-ekubo-2026-05-05	2026-05-05	Ekubo	accounting	unknown	0x770bc9a1f7c32cb63a5002b9ceb5c7994cd3af0fc6b2309cb32d3c46f629daa0
defihacklabs-trustedvolumes-2026-05-07	2026-05-07	TrustedVolumes	governance/access	f_auth	0xc5c61b3ac39d854773b9dc34bd0cdbc8b5bbf75f18551802a0b5881fcb990513
defihacklabs-adsharesbridge-2026-05-15	2026-05-15	AdsharesBridge	bridge	unknown	0x8844b4ec371c4b13d7fac701b5d546a7c2fba12621a9596dd14b662b14408789
defihacklabs-muredistribution-2026-05-21	2026-05-21	MureDistribution	governance/access	f_auth	0xb83040361a0ec72fa2d06ad69493226518a5f8b5d96c19b400626248f9c5b798
defihacklabs-squidroutermodule-2026-05-25	2026-05-25	SquidRouterModule	governance/access	f_auth	0x2d52984706d5ac567d554d40a62beeeda9e3901dd3847e93dd2a3117902abfeb
defihacklabs-new-market-trading-2026-05-25	2026-05-25	New Market Trading	governance/access	f_auth	0x59d17fd31e31959b2d562508bf91c4fc1271682ba7d61a6209865e1151b69aea
defihacklabs-wusdfi-2026-05-25	2026-05-25	WUSD.fi	accounting	unknown	0x2051c1f8d43730c41cc353b5dffd8cc59f96cb1ca56fdce4b28fb127bdb37712
defihacklabs-ambientcrocswapdex-2026-06-07	2026-06-07	AmbientCrocSwapDex	accounting	f_swap	0xb2fc668c42623261074de6fc30d583efede2b0e20d7aded42b7b634f9322ff52
defihacklabs-topbpool-2026-06-09	2026-06-09	TOPBPool	governance/access	unknown	0x967aa34c69b7775c718545c7f94d92e965eb5fc553c0f27f6f1a9c65c93ac156
defihacklabs-novabox-2026-06-09	2026-06-09	NovaBox	accounting	unknown	0x0cfa357e9e4db1540246f17cb6bfa0634ff8727d7cf241b63fb22605021c8844
defihacklabs-thetanuts-2026-06-15	2026-06-15	Thetanuts	accounting	unknown	0xbba9f138fe39503bfd1aa62932dbd6ab35d37d23d48e4b7bf2988a9d5dc39fec
defihacklabs-aztec-v1-2026-06-17	2026-06-17	Aztec V1	governance/access	f_swap	0x5c196c37a109d74c9797254287a0331f30e0daa637af241bd28fdc43774705c3
defihacklabs-summerfi-2026-07-06	2026-07-06	SummerFi	accounting	f_orc	0x0db528c44f23fc7fa4544684a2fab81096450a14aae8bc89f42cd0592d43da12
defihacklabs-compoundprovider-2026-07-16	2026-07-16	CompoundProvider	governance/access	f_swap	0xd191fead1b9a2244f2837560f35d4fc865404914d229bfcb0172d1a7a9895afb
defihacklabs-lien-finance-2026-07-24	2026-07-24	Lien Finance	governance/access	f_swap	0xb96d572b557a12f5ef193e88cca86123a6ae1b6e98b0eeee265870c85848e0e7
defihacklabs-projekt-reward-vault-2026-07-25	2026-07-25	Projekt Reward Vault	governance/access	unknown	0x90f40d3c3b60370f7287d51d972ef54596c46e98f21af91b03a4e84c5e410f64
defihacklabs-exchangeissuance-index-coop-2026-07-30	2026-07-30	ExchangeIssuance (Index Coop)	accounting	f_orc	0x7f45428df558fba1d19ab115effef8ecd1e6e05b491f02202b0815e47b8d658b
defihacklabs-strongblock-2026-08-05	2026-08-05	StrongBlock	governance/access	f_swap,f_auth	0x92be5e374e260192f8fdb5ffdc33504c768ecad091cc7dbc37282e5ca8ea94c6
defihacklabs-unistreetlaunchpad-2026-08-06	2026-08-06	UnistreetLaunchpad	governance/access	f_auth	0x9583e95d5c88c7966e269197f4b09022f26b7a27ad2c13660dda6774e3136d14
defihacklabs-usm-2026-08-09	2026-08-09	USM	precision	f_swap	0xfae5e751b8ce01457cbb6b529839f24a0cff50faaabcbd0fd02ca0cf559b050e
